,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,
Code,New Code,Area,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3,Total pupils,Pupils with statements,%3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AM,E09000012,Hackney,"32,263",920,2.9,"32,280",929,2.9,"31,714",924,2.9,"32,247",962,3.0,"32,071",953,3.0,"32,073",921,2.9,"32,165",978,3.0,"32,936",973,3.0,"34,066","1,069",3.1,"34,996","1,093",3.1,"36,725","1,169",3.2,"38,816","1,235",3.2,"40,855","1,310",3.2,"42,656","1,421",3.3,"43,372","1,461",3.4,"44,554","1,492",3.3,"44,569","1,539",3.5,"45,094","1,598",3.5
00AN,E09000013,Hammersmith and Fulham,"22,253",834,3.7,"22,866",833,3.6,"22,789",817,3.6,"22,814",829,3.6,"22,623",799,3.5,"23,112",755,3.3,"23,136",730,3.2,"23,505",721,3.1,"23,968",762,3.2,"24,364",775,3.2,"25,291",789,3.1,"25,858",851,3.3,"26,128",860,3.3,"26,730",920,3.4,"26,984",934,3.5,"27,588",973,3.5,"27,595","1,089",3.9,"27,532","1,157",4.2
00AP,E09000014,Haringey,"36,487",913,2.5,"36,489","1,006",2.8,"36,595","1,043",2.9,"36,840","1,062",2.9,"37,241","1,069",2.9,"37,635","1,154",3.1,"37,927","1,073",2.8,"38,153","1,147",3.0,"38,695","1,208",3.1,"39,378","1,251",3.2,"39,827","1,255",3.2,"40,353","1,308",3.2,"40,065","1,232",3.1,"40,511","1,280",3.2,"41,131","1,288",3.1,"41,550","1,294",3.1,"42,090","1,261",3.0,"42,402","1,314",3.1
00AQ,E09000015,Harrow,"33,771",868,2.6,"33,715",910,2.7,"33,700",942,2.8,"33,759",887,2.6,"33,971",875,2.6,"33,945",869,2.6,"33,999",888,2.6,"35,103",930,2.6,"35,398",913,2.6,"35,985",939,2.6,"36,260",955,2.6,"36,865",980,2.7,"37,581",982,2.6,"38,316",995,2.6,"39,156","1,009",2.6,"39,877","1,082",2.7,"40,266","1,110",2.8,"41,251","1,157",2.8
00AR,E09000016,Havering,"38,016","1,014",2.7,"38,008",987,2.6,"37,861",942,2.5,"37,517",940,2.5,"37,204",900,2.4,"36,890",875,2.4,"36,843",778,2.1,"37,036",704,1.9,"37,097",616,1.7,"37,223",588,1.6,"37,252",599,1.6,"37,602",625,1.7,"38,151",809,2.1,"38,707",920,2.4,"39,182",913,2.3,"39,598",931,2.4,"40,112",997,2.5,"40,305","1,078",2.7
00AS,E09000017,Hillingdon,"46,127","1,408",3.1,"46,338","1,503",3.2,"46,441","1,487",3.2,"46,606","1,400",3.0,"46,822","1,370",2.9,"47,096","1,294",2.7,"47,383","1,269",2.7,"47,996","1,293",2.7,"48,472","1,347",2.8,"49,184","1,362",2.8,"50,017","1,423",2.8,"51,291","1,516",3.0,"52,403","1,571",3.0,"53,993","1,734",3.2,"55,321","1,800",3.3,"56,105","1,912",3.4,"56,276","2,003",3.6,"56,316","2,074",3.7
00AT,E09000018,Hounslow,"36,760","1,192",3.2,"37,099","1,247",3.4,"37,163","1,308",3.5,"36,999","1,307",3.5,"37,126","1,276",3.4,"37,384","1,181",3.2,"37,466","1,093",2.9,"37,590",977,2.6,"38,059",903,2.4,"38,565",923,2.4,"39,571",981,2.5,"41,174","1,048",2.5,"42,177","1,089",2.6,"43,273","1,181",2.7,"44,065","1,306",3.0,"45,163","1,317",2.9,"45,706","1,372",3.0,"46,727","1,577",3.4
00AU,E09000019,Islington,"24,632",794,3.2,"24,451",741,3.0,"23,900",703,2.9,"23,782",728,3.1,"23,670",740,3.1,"23,330",722,3.1,"23,196",712,3.1,"23,329",726,3.1,"23,340",727,3.1,"23,884",783,3.3,"24,215",798,3.3,"24,147",820,3.4,"24,621",843,3.4,"25,263",917,3.6,"25,592",898,3.5,"26,069",962,3.7,"25,890","1,008",3.9,"25,551","1,101",4.3
00AW,E09000020,Kensington and Chelsea,"22,272",301,1.4,"21,644",309,1.4,"21,774",305,1.4,"21,726",323,1.5,"21,723",364,1.7,"21,916",333,1.5,"22,282",332,1.5,"22,674",373,1.6,"23,202",368,1.6,"24,131",445,1.8,"24,616",412,1.7,"24,981",415,1.7,"25,460",516,2.0,"25,935",491,1.9,"26,144",492,1.9,"26,124",544,2.1,"25,470",519,2.0,"25,550",569,2.2
00AX,E09000021,Kingston upon Thames,"24,502",539,2.2,"24,711",544,2.2,"24,523",539,2.2,"25,129",591,2.4,"25,114",581,2.3,"25,237",579,2.3,"25,243",569,2.3,"25,748",593,2.3,"26,295",624,2.4,"26,645",642,2.4,"27,087",673,2.5,"27,571",688,2.5,"28,079",689,2.5,"28,451",733,2.6,"28,649",724,2.5,"29,023",721,2.5,"29,624",796,2.7,"30,275",868,2.9
